"PERIOD TOTAL FERTILITY RATES. Last modified 24/05/2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,Austria,Belarus,Belgium,Bulgaria,Canada,Chile,Croatia,Czechia,Denmark,Estonia,Finland,France,Germany,"Germany East","Germany West",Hungary,Iceland,Ireland,Italy,Japan,Lithuania,Netherlands,Norway,Poland,Portugal,"Republic of Korea",Russia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Taiwan,"United Kingdom","UK - England and Wales","UK - Northern Ireland","UK - Scotland",Ukraine,USA
PERIOD,AUT,BLR,BEL,BGR,CAN,CHL,HRV,CZE,DNK,EST,FIN,FRATNP,DEUTNP,DEUTE,DEUTW,HUN,ISL,IRL,ITA,JPN,LTU,NLD,NOR,POL,PRT,KOR,RUS,SVK,SVN,ESP,SWE,CHE,TWN,GBR_NP,GBRTENW,GBR_NIR,GBR_SCO,UKR,USA
1960,2.696,0,2.541,2.312,3.909,0,0,2.121,2.571,1.975,2.721,2.741,2.368,2.349,2.372,2.024,4.303,3.752,2.44,2.024,2.611,3.122,0,0,3.159,0,2.556,3.019,0,2.793,2.197,2.443,0,0,2.679,0,2.928,2.248,3.667
1961,2.786,0,2.625,2.291,3.853,0,0,2.14,2.553,1.982,2.716,2.826,2.444,2.424,2.448,1.939,3.927,3.794,2.445,1.977,2.601,3.217,0,0,3.224,0,2.458,2.967,0,2.772,2.229,2.529,0,0,2.764,0,2.948,2.156,3.626
1962,2.8,0,2.594,2.241,3.77,0,0,2.152,2.551,1.965,2.684,2.796,2.44,2.422,2.443,1.795,3.993,3.955,2.502,1.987,2.465,3.175,0,0,3.287,0,2.34,2.837,0,2.811,2.256,2.594,0,0,2.845,0,3.059,2.135,3.481
1963,2.821,0,2.686,2.211,3.68,0,0,2.353,2.641,1.912,2.686,2.897,2.512,2.477,2.52,1.825,3.993,4.061,2.587,2.013,2.347,3.192,0,0,3.196,0,2.283,2.936,0,2.884,2.336,2.666,0,0,2.88,0,3.027,2.105,3.354
1964,2.795,2.282,2.724,2.184,3.512,0,0,2.384,2.6,1.97,2.597,2.915,2.535,2.482,2.551,1.822,3.881,4.117,2.742,2.055,2.302,3.165,0,0,3.308,0,2.16,2.911,0,3.02,2.482,2.675,0,0,2.93,0,3.09,2.015,3.222
1965,2.703,2.241,2.632,2.086,3.149,0,0,2.209,2.608,1.915,2.479,2.848,2.501,2.485,2.509,1.831,3.728,4.078,2.703,2.155,2.231,3.038,0,0,3.245,0,2.087,2.806,0,2.945,2.416,2.605,0,0,2.845,0,2.992,1.942,2.926
1966,2.663,2.309,2.543,2.025,2.815,0,0,2.04,2.615,1.898,2.409,2.799,2.507,2.423,2.535,1.899,3.587,3.976,2.659,1.588,2.266,2.901,0,0,3.24,0,2.098,2.684,0,2.932,2.361,2.516,0,0,2.753,0,2.877,2.054,2.714
1967,2.621,2.286,2.434,2.022,2.596,0,0,1.929,2.35,1.911,2.323,2.67,2.45,2.334,2.488,2.027,3.285,3.874,2.565,2.236,2.273,2.812,2.785,0,3.212,0,2.006,2.511,0,2.99,2.267,2.408,0,0,2.648,0,2.87,2.058,2.564
1968,2.586,2.316,2.332,2.269,2.455,0,0,1.86,2.117,2.025,2.14,2.587,2.36,2.292,2.386,2.081,3.065,3.791,2.521,2.139,2.315,2.713,2.753,0,3.147,0,1.97,2.421,0,2.933,2.072,2.3,0,0,2.567,0,2.821,2.048,2.467
1969,2.488,2.29,2.292,2.268,2.404,0,0,1.893,1.998,2.126,1.93,2.534,2.211,2.232,2.213,2.052,2.99,3.842,2.535,2.135,2.341,2.746,2.697,0,3.111,0,1.984,2.466,0,2.924,1.927,2.192,0,0,2.468,0,2.676,2.034,2.457
1970,2.292,2.354,2.258,2.173,2.312,0,0,1.92,1.949,2.188,1.826,2.48,2.029,2.188,1.991,1.989,2.814,3.863,2.452,2.144,2.407,2.57,2.506,0,3.001,0,1.995,2.428,0,2.901,1.92,2.104,0,0,2.395,0,2.568,2.106,2.461
1971,2.2,2.36,2.213,2.102,2.138,0,0,1.98,2.043,2.234,1.685,2.496,1.965,2.129,1.919,1.941,2.92,3.954,2.436,2.169,2.426,2.36,2.489,2.248,3,0,2.024,2.427,0,2.916,1.961,2.038,0,0,2.364,0,2.53,2.123,2.268
1972,2.085,2.311,2.099,2.028,1.965,0,0,2.077,2.029,2.177,1.576,2.418,1.734,1.784,1.716,1.94,3.092,3.865,2.386,2.155,2.355,2.149,2.384,2.227,2.835,0,2.027,2.482,0,2.888,1.913,1.913,0,0,2.167,0,2.268,2.125,2.008
